vendorid,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2.0,9.0,0.0,1.0,9.8,0.0,0.0,1.96,0.0,0.0,11.76,0.0
2.0,8.0,0.0,1.0,8.5,0.0,0.0,1.0,0.0,0.3,12.3,2.5
2.0,8.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.3,8.3,0.0
2.0,7.0,0.0,1.0,7.0,0.0,0.5,1.0,0.0,0.3,8.8,0.0
2.0,7.0,0.0,2.0,7.3,0.0,0.5,0.0,0.0,0.3,8.1,0.0
2.0,7.0,0.0,1.0,7.3,0.0,0.5,3.18,0.0,0.3,13.78,2.5
2.0,7.0,0.0,1.0,7.0,0.0,0.5,1.0,0.0,0.3,8.8,0.0
2.0,7.0,10.84,1.0,70.0,0.0,0.0,0.0,0.0,0.3,72.8,2.5
2.0,6.0,0.73,2.0,4.0,0.5,0.5,0.0,0.0,0.3,5.3,0.0
2.0,6.0,1.09,1.0,5.0,0.5,0.5,2.64,0.0,0.3,11.44,2.5
